title,average_rating,pagesNumber,RatingDist4,RatingDistTotal,PublishMonth,PublishDay,Publisher,CountsOfReview,PublishYear,Language,author,genres,description,rating,RatingDist2,RatingDist5,ISBN,RatingDist3
The Woman Chaser,1:05,192,0.338888889,total:600,1,4,Newstand Library,51,1960,,Charles Willeford,History,Sample Description 134,3.93,2:26,0.329166667,1842430017,0.227083333
The Machine in Ward Eleven,1:02,160,4:50,total:147,27,8,Thunder's Mouth Press,15,2001,,Charles Willeford,Science,Sample Description 135,3.59,2:12,5:26,1568582102,3:57
Wild Wives,1:03,102,0.294444444,total:452,9,9,Vintage Crime/Black Lizard,44,2009,,Charles Willeford,Fntasy,Sample Description 136,3.68,2:30,0.263888889,1400032474,0.232638889
The Shark-Infested Custard,1:08,272,0.318055556,total:574,6,12,Vintage Crime/Black Lizard,58,2005,,Charles Willeford,Biography,Sample Description 137,3.8200000000000003,2:37,0.315277778,1400032512,0.234027778
The Black Mass of Brother Springer,1:03,208,0.236805556,total:237,1,12,Wit's End Books,11,2003,,Charles Willeford,Self-Help,Sample Description 138,3.9699999999999998,2:08,0.258333333,1930997353,3:53
Comedy after Postmodernism: Rereading Comedy from Edward Lear to Charles Willeford,1:01,184,4:00,total:7,15,1,Texas Tech University Press,0,2001,,Kirby Olson,History,Sample Description 139,4.14,2:00,5:05,0896724409,3:01
Cockfighter,1:18,200,0.498611111,total:1200,1,6,Blackmask.com,62,2005,,Charles Willeford,Science,Sample Description 140,4.11,2:41,0.532638889,1596542225,0.261111111
"Sideswipe (Hoke Moseley, #3)",1:07,279,0.448611111,total:931,12,6,Ballantine Books,3,1988,,Charles Willeford,Fntasy,Sample Description 141,4.04,2:40,0.421527778,0345349474,0.24375
The Burnt Orange Heresy (Vintage Crime/Black Lizard),1:06,144,0.369444444,total:771,3,10,Vintage,11,1990,eng,Charles Willeford,Biography,Sample Description 142,3.89,2:57,0.368055556,0679732527,0.254166667
I am Charlotte Simmons,1.141666667,738,5.447916667,total:23687,30,8,Picador USA,1696,2005,eng,Tom Wolfe,Self-Help,Sample Description 143,3.42,2.238194444,3.197916667,0312424442,5.048611111
The Complete Verse and Other Nonsense,1:20,624,0.388194444,total:974,29,10,Penguin Books,27,2002,,Edward Lear,History,Sample Description 144,4.18,2:26,0.519444444,0142002275,0.236805556
The Complete Nonsense of Edward Lear,1:16,287,0.343055556,total:789,1,6,Amereon Limited,39,1940,,Edward Lear,Science,Sample Description 145,4.03,2:51,0.430555556,089190090X,0.227777778
Poetry for Young People: Edward Lear,1:01,48,4:30,total:76,1,10,Sterling,19,2001,eng,Edward Lear,Fntasy,Sample Description 146,3.91,2:05,5:23,0806930772,3:17
An Edward Lear Alphabet,1:01,32,4:10,total:50,1,4,HarperCollins Publishers,9,1999,,Edward Lear,Biography,Sample Description 147,3.42,2:09,5:11,0060281138,3:19
A Was Once an Apple Pie,1:08,32,4:57,total:217,1,9,Orchard Books,67,2005,,Edward Lear,Self-Help,Sample Description 148,3.41,2:35,5:42,0439660564,0.177083333
The Owl and the Pussycat,0.096527778,32,1.75,total:8057,7,5,Puffin Books,9,1996,,Edward Lear,History,Sample Description 149,4.19,0.313888889,2.928472222,0698113675,1.13125
The Pobble Who Has No Toes (Edward Lear's Little Books of Nonsense),1:00,24,4:12,total:50,27,3,HarperCollins Publishers,6,1986,,Edward Lear,Science,Sample Description 150,4.6,2:00,5:34,0246128828,3:04
The Puffin Book of Nonsense Verse,1:01,287,4:43,total:103,3,10,Puffin,6,1996,eng,Quentin Blake,Fntasy,Sample Description 151,4,2:04,5:33,0140366601,3:22
Henry Miller on Writing,1:08,217,0.408333333,total:1019,1,2,New Directions Publishing,52,1964,eng,Henry Miller,Biography,Sample Description 152,4.23,2:30,0.5375,0811201120,0.235416667
The Colossus of Maroussi,0.089583333,244,0.95,total:3280,17,1,New Directions,204,1975,,Henry Miller,Self-Help,Sample Description 153,3.98,0.226388889,1.05625,0811201090,0.580555556
Quiet Days in Clichy,0.118055556,154,1.213194444,total:4228,13,1,Grove Press,143,1994,eng,Henry Miller,History,Sample Description 154,3.69,0.325694444,0.89375,080213016X,1.010416667
Big Sur and the Oranges of Hieronymus Bosch,1:19,400,0.823611111,total:2600,17,1,New Directions,142,1957,,Henry Miller,Science,Sample Description 155,4.02,0.180555556,0.865277778,0811201074,0.50625
Tropic of Cancer,2.195833333,318,4:19730,total:60009,6,1,Grove Press,2405,1994,eng,Henry Miller,Fntasy,Sample Description 156,3.68,4.155555556,5:16602,0802131786,3:14711
Tropic of Capricorn,0.513194444,348,4.386805556,total:17084,13,1,Grove Press,463,1994,eng,Henry Miller,Biography,Sample Description 157,3.7800000000000002,1.029166667,3.690277778,0802151825,2.869444444
"Nexus (The Rosy Crucifixion, #3)",1:19,316,1.125694444,total:3577,13,1,Grove Press,58,1994,eng,Henry Miller,Self-Help,Sample Description 158,4.1,0.175,1.152083333,0802151787,0.601388889
"Sexus (The Rosy Crucifixion, #1)",0.203472222,506,2.284722222,total:8560,12,1,Grove Press,255,1994,eng,Henry Miller,History,Sample Description 159,3.98,0.434722222,2.3875,0802151809,1.259027778
The Air-Conditioned Nightmare,0.086111111,292,0.938194444,total:2916,17,1,New Directions,143,1970,eng,Henry Miller,Science,Sample Description 160,3.83,0.228472222,0.780555556,0811201066,0.616666667
The Time of the Assassins:  a Study of Rimbaud,1:23,160,0.422222222,total:1025,17,1,New Directions,54,1962,,Henry Miller,Fntasy,Sample Description 161,3.95,0.127083333,0.455555556,0811201155,0.274305556
Public Places-Urban Spaces: The Dimensions of Urban Design,1:03,320,4:49,total:116,14,3,Architectural Press,7,2003,,Matthew Carmona,Biography,Sample Description 162,4.1,2:03,5:44,0750636327,3:17
Behavior in Public Places,1:04,248,0.243055556,total:238,1,9,Free Press,7,1966,,Erving Goffman,Self-Help,Sample Description 163,4.1,2:03,0.264583333,0029119405,3:40
Haunted Places in America: A Guide to Spooked and Spooky Public Places in the United States,1:01,288,4:06,total:19,1,10,Lyons Press,1,2004,,Charles A. Coulombe,History,Sample Description 164,3.42,2:06,5:05,1592284159,3:01
"Public Places: My Life in the Theater, with Peter O'Toole and Beyond",1:00,441,4:19,total:48,3,5,Faber & Faber,6,2004,,Sian Phillips,Science,Sample Description 165,3.85,2:04,5:13,0571211194,3:12
Together Alone: Personal Relationships in Public Places,1:00,320,4:02,total:12,8,8,University of California Press,1,2005,,Calvin Morrill,Fntasy,Sample Description 166,3.67,2:00,5:03,0520245237,3:07
Squares: A Public Place Design Guide for Urbanists,1:00,208,4:03,total:9,1,9,University of New Mexico Press,0,2006,,Mark C. Childs,Biography,Sample Description 167,3.7800000000000002,2:00,5:02,0826330045,3:04
Just in Time! Pastoral Prayers in Public Places,1:00,80,4:01,total:5,1,3,Abingdon Press,0,2006,,F. Belton Joyner Jr.,Self-Help,Sample Description 168,3.8,2:01,5:02,0687495679,3:01
Pike Place Public Market Seafood Cookbook,1:00,129,4:08,total:24,1,6,Ten Speed Press,2,2005,,Braiden Rex-Johnson,History,Sample Description 169,3.83,2:00,5:06,1580086802,3:10
Art for Public Places: Critical Essays,1:00,244,4:01,total:4,1,1,Winchester School of Arts Press,1,1989,,Malcolm Miles,Science,Sample Description 170,4.25,2:00,5:02,0950678384,3:01
The Portrait of a Lady,1.570833333,797,4:23320,total:68057,30,9,Penguin Classics,1994,2003,eng,Henry James,Fntasy,Sample Description 171,3.7800000000000002,3.915972222,5:19713,0141439637,3:17303
Portrait of the Blue Lady: The Character of Melancholy,1:00,314,4:05,total:9,26,10,"Spring Journal, Inc",1,2004,,Lyn Cowan,Biography,Sample Description 172,4.22,2:00,5:03,1882670965,3:01
New Essays on 'The Portrait of a Lady',1:00,178,4:00,total:3,4,12,Cambridge University Press,0,1990,,Joel Porte,Self-Help,Sample Description 173,4,2:01,5:02,0521345081,3:00
The Lover,0.652777778,117,4:11787,total:33882,8,9,Pantheon Books,1473,1998,eng,Marguerite Duras,History,Sample Description 174,3.74,2.171527778,6.526388889,,6.451388889
Writing,1:37,91,0.549305556,total:1595,6,5,Brookline Books,49,1999,eng,Marguerite Duras,Science,Sample Description 175,3.74,0.191666667,0.505555556,1571290532,0.41875
The War,1:36,192,0.755555556,total:2144,1,8,The New Press,66,1994,eng,Marguerite Duras,Fntasy,Sample Description 176,3.85,0.166666667,0.6125,1565842219,0.5125
Craniosacral Therapy II: Beyond the Dura,1:00,259,4:15,total:46,1,1,Eastland Press,1,1990,,John E. Upledger,Biography,Sample Description 177,4.35,2:01,5:24,093961605X,3:06
The Ravishing of Lol Stein,0.126388889,181,0.815277778,total:3053,12,3,Pantheon,131,1986,en-US,Marguerite Duras,Self-Help,Sample Description 178,3.66,0.327083333,0.7875,0394743040,0.688888889
A Treasury of Kahlil Gibran,1:20,456,0.546527778,total:1945,1,1,Citadel Press,10,1976,,Kahlil Gibran,History,Sample Description 179,4.43,2:38,1.008333333,0806504102,0.255555556
Love Letters,1:19,178,0.249305556,total:418,1,7,One World (UK),8,1999,eng,Kahlil Gibran,Science,Sample Description 180,3.7,2:41,0.296527778,1851681825,0.202777778
The Prophet,2.820833333,128,4:62839,total:220719,21,2,Knopf,51,1995,,Kahlil Gibran,Fntasy,Sample Description 181,4.23,6.295138889,5:112917,0679440674,3:32016
Kahlil Gibran: His Life and World,1:01,464,4:15,total:42,1,4,Interlink Publishing Group,2,1998,eng,Jean Gibran,Biography,Sample Description 182,4.21,2:00,5:19,156656249X,3:07
The Beloved: Reflections on the Path of the Heart,1:06,102,0.263194444,total:389,1,1,Penguin Books,16,1998,eng,Kahlil Gibran,Self-Help,Sample Description 183,4.19,2:09,0.328472222,014019553X,0.168055556
Jesus the Son of Man,1:42,216,0.670138889,total:2183,21,2,Knopf,83,1995,eng,Kahlil Gibran,History,Sample Description 184,3.98,0.179166667,0.779166667,0394431243,0.441666667
The Broken Wings,0.28125,132,4.006944444,total:16106,3,3,Citadel,528,2003,eng,Kahlil Gibran,Science,Sample Description 185,3.92,0.8,4.058333333,0806501901,2.663194444
Sand and Foam,0.096527778,100,1.495138889,total:5413,14,6,Knopf,218,2011,eng,Kahlil Gibran,Fntasy,Sample Description 186,4.08,0.246527778,1.711111111,067943920X,0.834722222
Treasure Island,4.781944444,311,4:140643,total:380722,15,9,Kingfisher,6859,2001,eng,Robert Louis Stevenson,Biography,Sample Description 187,3.83,2:23087,5:106542,0753453800,3:103624
Treasure Island (Great Illustrated Classics),1:37,232,0.935416667,total:3433,31,1,Abdo Publishing Company,16,2006,eng,Deidre S. Laiken,Self-Help,Sample Description 188,4.05,0.186805556,1.15,1577658051,0.669444444
Cliffs Notes on Stevenson's Treasure Island and Kidnapped,1:00,80,4:02,total:5,24,7,Cliffs Notes,0,1974,,O.L. Mishk,History,Sample Description 189,4.6,2:00,5:03,0822013061,3:00
George Eliot and Judaism: An Attempt to Appreciate 'Daniel Deronda',1:00,100,4:00,total:3,1,5,University Press of the Pacific,0,2005,,David Kaufmann,Science,Sample Description 190,4.33,2:00,5:02,1410223221,3:01
Daniel Deronda Notebooks,1:01,524,4:04,total:20,28,12,Cambridge University Press,0,1996,,George Eliot,Fntasy,Sample Description 191,3.7,2:04,5:08,0521460646,3:03
"Daniel Deronda, V1",1:00,384,4:14,total:36,21,7,IndyPublish.com,2,2003,,George Eliot,Biography,Sample Description 192,4.31,2:01,5:17,1404384618,3:04
Flight: 100 Years of Aviation,1:02,440,0.215972222,total:191,16,9,DK Publishing (Dorling Kindersley),2,2002,,R.G. Grant,Self-Help,Sample Description 193,4.31,2:04,0.273611111,0789489104,3:20
100 Years of Lynchings,1:00,270,4:18,total:106,22,11,Black Classic Press,4,1996,eng,Ralph Ginzburg,History,Sample Description 194,4.61,2:01,0.261805556,0933121180,3:10
If You Lived 100 Years Ago,1:02,80,4:50,total:134,1,9,Scholastic Paperbacks,20,1999,,Ann McGovern,Science,Sample Description 195,3.91,2:08,5:42,0590960016,3:32
Camp Cooking: 100 Years The National Museum of Forest Service History,1:00,192,4:13,total:43,23,12,Gibbs Smith,1,2004,,National Museum of Forest Service History,Fntasy,Sample Description 196,4.42,2:02,5:25,1586857614,3:03
El Siglo del Espiritu Santo,1:01,559,4:21,total:61,1,7,Vida Publishers,0,2006,,Vinson Synan,Biography,Sample Description 197,3.79,2:05,5:17,9875570923,3:17
The Next 100 Years: Predictions to the Nations and the Church of the 21st Century,1:00,133,4:04,total:10,1,1,Arrow Publications,2,2004,,Dennis Cramer,Self-Help,Sample Description 198,4,2:00,5:03,1886296316,3:03
Disney,1:00,224,4:34,total:92,1,2,Disney Editions,1,2003,,Dave   Smith,History,Sample Description 199,3.98,2:02,5:29,0786853808,3:27
Masterwork Studies Series: 100 Years of Solitude,1:04,176,4:56,total:201,1,5,Twayne Publishers,14,1991,,Regina Janes,Science,Sample Description 200,4.05,2:19,0.271527778,0805779892,3:31
Cien años de soledad,1:31197,448,4:191401,total:712566,1,1,French & European,7,1990,spa,Gabriel García Márquez,Fntasy,Sample Description 201,4.07,2:44384,5:339759,0785950109,3:105825
Why Zebras Don't Get Ulcers,0.096527778,560,2.223611111,total:8126,15,9,Holt Paperbacks,619,2004,,Robert M. Sapolsky,Biography,Sample Description 202,4.17,0.286805556,2.630555556,0805073698,1.030555556
Chess for Zebras,1:02,255,4:25,total:81,1,12,Gambit Publications,8,2003,,Jonathan Rowson,Self-Help,Sample Description 203,4.4,2:00,5:46,1901983854,3:08
What If the Zebras Lost Their Stripes?,1:02,32,4:30,total:76,1,9,Paulist Press,14,1998,,John Reitano,History,Sample Description 204,4.14,2:03,5:32,0809166496,3:09
On Beyond Zebra!,1:37,64,0.78125,total:2968,12,9,Random House Books for Young Readers,165,1955,eng,Dr. Seuss,Science,Sample Description 205,4.04,0.197916667,1.052083333,0394800842,0.5875
Ziggy the Zebra,1:00,14,4:05,total:14,1,2,Piggy Toes Press,0,2000,,Libby Ellis,Fntasy,Sample Description 206,4.07,2:00,5:05,1581171048,3:04
The Wedding Clause,1:02,256,4:53,total:173,7,6,Zebra,14,2005,eng,Debbie Raleigh,Biography,Sample Description 207,3.61,2:16,5:36,0821778250,0.170833333
The Zebra Wall,1:10,147,0.213194444,total:227,15,2,Greenwillow Books,24,2005,eng,Kevin Henkes,Self-Help,Sample Description 208,3.44,2:35,5:44,0060733039,0.174305556
"""A"" Is for Zebra",1:01,32,4:22,total:60,28,4,Sterling,21,2006,,Mark Shulman,History,Sample Description 209,3.7800000000000002,2:03,5:15,1402734948,3:19
Lots and Lots of Zebra Stripes,1:00,32,4:12,total:38,1,3,Boyds Mills Press,7,2002,,Stephen R. Swinburne,Science,Sample Description 210,3.74,2:04,5:10,1563979802,3:12
El perfume: Historia de un asesino,5.134722222,239,4:105950,total:300934,1,6,Booket,262,2002,spa,Patrick Süskind,Fntasy,Sample Description 211,4.02,2:16737,5:116750,8432216062,3:54163
"Perfumes, Splashes  Colognes: Discovering and Crafting Your Personal Fragrances",1:01,176,4:20,total:62,11,1,"Storey Publishing, LLC",2,1997,,Nancy M. Booth,Biography,Sample Description 212,3.65,2:04,5:13,0882669850,3:24
Wonderful World of Collecting Perfume Bottles: Identification & Value Guide,1:00,176,4:03,total:11,1,4,Collector Books,0,2006,,Jane Flanagan,Self-Help,Sample Description 213,4.09,2:01,5:05,1574325027,3:02
Scents & Sensibilities: Creating Solid Perfumes for Well-Being,1:01,96,4:26,total:71,7,6,Gibbs Smith,1,2005,,Mandy Aftel,History,Sample Description 214,3.85,2:04,5:20,158685738X,3:20
The Door Into Summer,0.155555556,304,5.845833333,total:21203,17,6,Del Rey,654,1997,eng,Robert A. Heinlein,Science,Sample Description 215,4.01,0.684027778,5.233333333,0345413997,3.430555556
Stranger in a Strange Land,1:11617,528,4:81317,total:266867,1,10,Ace,6303,1991,eng,Robert A. Heinlein,Fntasy,Sample Description 216,3.92,2:18857,5:102853,0441788386,3:52223
Time Enough for Love,0.559027778,589,7.071527778,total:30796,15,8,Ace,642,1988,eng,Robert A. Heinlein,Biography,Sample Description 217,3.9699999999999998,1.44375,5:11624,,4.65625
To Sail Beyond the Sunset,0.222222222,434,2.634722222,total:10560,1,6,Ace Books,194,1988,en-US,Robert A. Heinlein,Self-Help,Sample Description 218,3.87,0.584027778,2.60625,0441748600,1.911111111
Job: A Comedy of Justice,0.303472222,439,3.959722222,total:16459,12,10,Del Rey,440,1985,en-US,Robert A. Heinlein,History,Sample Description 219,3.7800000000000002,1.068055556,3.53125,0345316509,3.192361111
"Time for the Stars (Heinlein's Juveniles, #10)",1:31,256,2.384027778,total:8040,8,8,Tor Books,202,2006,eng,Robert A. Heinlein,Science,Sample Description 220,3.9699999999999998,0.264583333,1.915277778,0765314932,1.58125
"The Long Dark Tea-Time of the Soul (Dirk Gently, #2)",0.386805556,307,4:28327,total:74518,15,2,Pocket Books,1415,1991,eng,Douglas Adams,Fntasy,Sample Description 221,4.06,2.0625,5:27164,0671742515,3:15680
"The Salmon of Doubt (Dirk Gently, #3)",0.1875,298,6.827083333,total:25401,26,4,Del Rey,752,2005,eng,Douglas Adams,Biography,Sample Description 222,3.93,0.979861111,5.654861111,0345455290,4.615277778
Wish You Were Here: The Official Biography of Douglas Adams,1:38,368,0.80625,total:2777,27,12,Del Rey,49,2005,eng,Nick  Webb,Self-Help,Sample Description 223,4.14,0.151388889,1.046527778,0345476514,0.48125
"Dirk Gently's Holistic Detective Agency (Dirk Gently, #1)",0.869444444,306,4:42964,total:113878,1,1,Pocket Books,2457,2002,eng,Douglas Adams,History,Sample Description 224,3.98,3.897222222,5:38322,,3:25908
Velvet: A Novel of Suspense,1:01,221,4:00,total:7,1,6,Foul Play Press,0,1993,,Alec Kalla,Science,Sample Description 225,2.5700000000000003,2:03,5:01,0881502642,3:02
Douglas Adams's Starship Titanic,0.270833333,256,2.532638889,total:10960,27,10,Ballantine Books,85,1998,eng,Terry Jones,Fntasy,Sample Description 226,3.6,0.897916667,1.958333333,0345368436,2.576388889
The Salmon of Doubt: Hitchhiking the Galaxy One Last Time,0.1875,7,6.827083333,total:25401,1,1,Phoenix Audio,5,2006,,Douglas Adams,Biography,Sample Description 227,3.93,0.979861111,5.654861111,159777006X,4.615277778
Salmon Doubts,1:05,128,4:36,total:154,20,7,Alternative Comics,29,2004,,Adam Sacks,Self-Help,Sample Description 228,3.25,2:31,5:22,1891867717,0.166666667
Salmon of Doubt: Hitchhiking the Galaxy One Last Time,0.1875,336,6.827083333,total:25401,1,7,Turtleback Books,0,2003,eng,Douglas Adams,History,Sample Description 229,3.93,0.979861111,5.654861111,1417622857,4.615277778
A Guide for Using the Phantom Tollbooth in the Classroom,1:00,48,4:04,total:16,1,3,Teacher Created Resources,0,1994,,Kathleen L. Bulloch,Science,Sample Description 230,4.25,2:00,5:08,1557344310,3:04
A Colorful Symphony: Full Score,1:00,68,4:00,total:1,1,5,"G. Schirmer, Inc.",1,1997,,Robert Xavier Rodríguez,Fntasy,Sample Description 231,5,2:00,5:01,0793565561,3:00
The Phantom Tollbooth: A Children's Play in Two Acts,1:02,72,4:32,total:100,12,1,"Samuel French, Inc.",14,2011,eng,Susan Nanus,Biography,Sample Description 232,4.11,2:07,5:45,0573650969,3:14
On Bullshit,0.26875,67,2.485416667,total:10264,30,1,Princeton University Press,1005,2005,eng,Harry G. Frankfurt,Self-Help,Sample Description 233,3.5700000000000003,0.889583333,1.725,0691122946,2.384027778
Another Bullshit Night in Suck City,0.215972222,347,2.756944444,total:10051,12,9,W. W. Norton & Company,909,2005,eng,Nick Flynn,History,Sample Description 234,3.79,0.636805556,2.10625,0393329402,1.888888889
100 Bullshit Jobs...And How to Get Them,1:11,320,4:30,total:171,2,5,Harper Business,23,2006,,Stanley Bing,Science,Sample Description 235,3.19,2:35,5:30,0060734795,0.170138889
The Business of Bullshit,1:00,193,4:02,total:17,30,5,Plume,3,2006,,Graham Edmonds,Fntasy,Sample Description 236,3.47,2:02,5:04,0452287332,3:09
Bullshit Artist: The 9/11 Leadership Myth,1:00,326,4:02,total:6,28,3,Booksurge Publishing,0,2006,,Ron Schalow,Biography,Sample Description 237,4.67,2:00,5:04,141962461X,3:00
Your Call Is Important to Us: The Truth About Bullshit,1:21,272,0.24375,total:324,23,5,Broadway Books,32,2006,,Laura Penny,Self-Help,Sample Description 238,3.42,2:48,5:58,1400081041,0.184722222
"Bullets, Badges, and Bullshit",1:00,444,4:00,total:2,6,3,PublishAmerica,0,2006,,Phil T. O'Brien,History,Sample Description 239,5,2:00,5:02,1424124255,3:00
"Hello, Lied the Agent: And Other Bullshit You Hear as a Hollywood TV Writer",1:03,342,4:15,total:56,1,9,Phoenix Books and Audio,8,2006,,Ian Gurvitz,Science,Sample Description 240,3.34,2:06,5:08,1597775320,3:24
Lincoln at Gettysburg: The Words That Remade America,0.131944444,317,1.777083333,total:7245,12,6,Simon & Schuster,15,1993,en-US,Garry Wills,Fntasy,Sample Description 241,4.14,0.310416667,2.471527778,0671867423,0.965277778
Lincoln's Gettysburg Address in Translation,1:46,36,1.148611111,total:6532,31,12,Library of Congress,0,1972,,Abraham Lincoln,Biography,Sample Description 242,4.53,0.147222222,3.249305556,0844400181,0.542361111
The Gettysburg Address,1:46,32,1.148611111,total:6532,2,2,HMH Books for Young Readers,76,1998,eng,Abraham Lincoln,Self-Help,Sample Description 243,4.53,0.147222222,3.249305556,0395883970,0.542361111
The Battle of Gettysburg and Lincoln's Gettyburg Address,1:00,48,4:01,total:7,1,5,Enslow Elementary,2,2004,,Carin T. Ford,History,Sample Description 244,4.14,2:01,5:04,0766022536,3:01
Underworld,0.691666667,827,6.078472222,total:25858,9,7,Scribner,177,1998,eng,Don DeLillo,Science,Sample Description 245,3.92,1.419444444,6.852083333,0684848155,3.540277778
Libra,0.173611111,480,4.063194444,total:13598,1,5,Penguin,572,1991,eng,Don DeLillo,Fntasy,Sample Description 246,3.99,0.519444444,3.288888889,0140156046,2.022916667
Americana,0.158333333,377,1.286111111,total:4737,6,7,Penguin Books,55,1989,eng,Don DeLillo,Biography,Sample Description 247,3.43,0.501388889,0.677083333,0140119485,1.291666667
Running Dog,1:37,256,0.572222222,total:1679,17,7,Vintage Contemporaries,76,1989,eng,Don DeLillo,Self-Help,Sample Description 248,3.43,0.202777778,0.342361111,0679722947,0.60625
Ratner's Star,0.094444444,448,0.54375,total:1849,17,7,Vintage,17,1989,,Don DeLillo,History,Sample Description 249,3.48,0.257638889,0.469444444,0679722920,0.54375
Cosmopolis,0.664583333,224,3.011805556,total:14391,6,4,Scribner,41,2004,eng,Don DeLillo,Science,Sample Description 250,3.22,1.850694444,1.403472222,0743244257,3.688194444
Great Jones Street,0.093055556,272,0.864583333,total:2864,1,1,Penguin Books,149,1994,eng,Don DeLillo,Fntasy,Sample Description 251,3.48,0.315277778,0.504861111,0140179178,0.836111111
The Names,0.118055556,339,1.039583333,total:3614,17,7,Vintage,213,1989,eng,Don DeLillo,Biography,Sample Description 252,3.64,0.334722222,0.776388889,0679722955,0.865972222
Against the Day,0.140972222,1085,1.565972222,total:6265,21,11,Penguin Press,590,2006,eng,Thomas Pynchon,Self-Help,Sample Description 253,4.13,0.309027778,2.181944444,159420120X,0.777777778
V.,0.397916667,547,4.950694444,total:18489,5,7,Harper Perennial Modern Classics,179,2005,eng,Thomas Pynchon,History,Sample Description 254,3.96,0.8125,4.71875,0060930217,2.584722222
The Crying of Lot 49,2.006944444,152,4:23047,total:65731,1,4,Harper Perennial,231,1999,eng,Thomas Pynchon,Science,Sample Description 255,3.69,4.49375,5:17146,0060931671,3:16357
Gravity's Rainbow,1.341666667,784,6.454861111,total:34208,1,1,Penguin Books,213,2000,eng,Thomas Pynchon,Fntasy,Sample Description 256,4,1.8,5:15768,0140283382,3.625694444
Mason & Dixon,0.215277778,773,2.115277778,total:8963,3,1,Picador USA,609,2004,eng,Thomas Pynchon,Biography,Sample Description 257,4.07,0.436111111,2.922916667,0312423209,1.159722222
Vineland,0.209027778,385,2.616666667,total:9221,1,9,Penguin Classics,69,1997,en-US,Thomas Pynchon,Self-Help,Sample Description 258,3.69,0.620138889,1.625,0141180633,1.957638889
Slow Learner: Early Stories,0.083333333,193,1.146527778,total:4043,30,4,Back Bay Books,34,1985,eng,Thomas Pynchon,History,Sample Description 259,3.5,0.359027778,0.598611111,0316724432,1.245138889
Thomas Pynchon (Bloom's Modern Critical Views),1:00,322,4:07,total:25,23,7,Chelsea House Publications,1,2003,,Harold Bloom,Science,Sample Description 260,3.6,2:00,5:04,0791074455,3:14
Been Down So Long It Looks Like Up To Me,0.092361111,352,0.865277778,total:2776,29,8,Penguin Classics,220,1996,eng,Richard Fariña,Fntasy,Sample Description 261,3.79,0.228472222,0.747916667,0140189300,0.61875
Vintage Didion,1:02,199,0.3,total:439,6,1,Vintage Books,25,2004,,Joan Didion,Biography,Sample Description 262,4.1,2:13,0.314583333,1400033934,0.179861111
The Year of Magical Thinking,2.298611111,227,4:46936,total:131747,4,10,Knopf Publishing Group,337,2005,en-US,Joan Didion,Self-Help,Sample Description 263,3.89,6.585416667,5:43259,140004314X,3:28939
The White Album,0.108333333,222,4.432638889,total:15311,1,10,Farrar Straus Giroux,763,1990,eng,Joan Didion,History,Sample Description 264,4.16,0.383333333,4.470833333,0374522219,1.8625
A Book of Common Prayer,0.0875,272,1.113888889,total:3437,11,4,Vintage International,259,1995,eng,Joan Didion,Science,Sample Description 265,3.8,0.25625,0.821527778,0679754865,0.732638889
Where I Was From,1:34,240,1.092361111,total:3354,14,9,Vintage,295,2004,eng,Joan Didion,Fntasy,Sample Description 266,3.86,0.239583333,0.844444444,0679752862,0.7125
Slouching Towards Bethlehem,0.293055556,238,4:12452,total:33527,1,10,Farrar Straus Giroux,1876,1990,eng,Joan Didion,Biography,Sample Description 267,4.21,0.788888889,5:14865,0374521727,3.480555556
Democracy,1:34,234,0.766666667,total:2307,25,4,Vintage International,172,1995,en-US,Joan Didion,Self-Help,Sample Description 268,3.8200000000000003,0.185416667,0.638194444,0679754857,0.571527778
We Tell Ourselves Stories in Order to Live: Collected Nonfiction,1:04,1122,0.502083333,total:1588,17,10,Everyman's Library,109,2006,eng,Joan Didion,History,Sample Description 269,4.5,2:23,0.879861111,0307264874,0.202083333
Miami,1:18,240,0.506944444,total:1242,29,9,Vintage,96,1998,,Joan Didion,Science,Sample Description 270,3.7,0.152083333,0.388194444,0679781803,0.386111111
Play It As It Lays,0.368055556,231,4:10389,total:26972,15,11,"Farrar, Straus and Giroux",1757,2005,eng,Joan Didion,Fntasy,Sample Description 271,3.88,1.3125,5.750694444,0374529949,4.543055556
Amazons: An Intimate Memoir by the First Woman Ever to Play in the National Hockey League,1:05,390,4:40,total:129,1,1,Holt McDougal,4,1980,,Cleo Birdwell,Biography,Sample Description 272,3.71,2:16,5:39,0030554268,3:29
The New York Trilogy,0.935416667,308,4:22194,total:56393,28,3,Penguin Classics,1895,2006,eng,Paul Auster,Self-Help,Sample Description 273,3.89,2.670833333,5:17093,0143039830,3:12093
"City of Glass (The New York Trilogy, #1)",0.263194444,203,4.098611111,total:14459,7,4,Penguin Books,748,1987,eng,Paul Auster,History,Sample Description 274,3.79,0.850694444,2.818055556,0140097317,2.635416667
"Ghosts (The New York Trilogy, #2)",0.102083333,96,1.325,total:4495,7,7,Penguin Books,200,1987,eng,Paul Auster,Science,Sample Description 275,3.64,0.363194444,0.832638889,014009735X,1.123611111
"The Locked Room (The New York Trilogy, #3)",1:50,179,1.28125,total:3769,1,11,Sun and Moon Press,167,1986,eng,Paul Auster,Fntasy,Sample Description 276,3.89,0.223611111,0.919444444,0940650762,0.741666667
"New York Trilogy: New York Underground, Trapped, Love and Sex",1:00,156,4:00,total:2,20,4,iUniverse,0,2000,,Paul Hallasy,Biography,Sample Description 277,5,2:00,5:02,0595002234,3:00
